id,name,ranking,team_id
765,Carlo Colaiacovo,765,4
766,Christian Folin,766,15
767,Taylor Beck,767,19
768,Luke Gazdic,768,12
769,Nate Guenin,769,9
770,Jamie Oleksiak,770,10
771,Stephane Robidas,771,27
772,Josh Gorges,772,4
773,Chris Butler,773,25
774,Micheal Ferland,774,6
775,Jeremy Morin,775,7
776,Tyler Randell,776,3
777,Alex Petrovic,777,13
778,Mike Weber,778,4
779,Zach Sill,779,29
780,Noah Hanifin,780,5
781,Chris Wagner,781,9
782,Zach Trotman,782,3
783,Jon Merrill,783,17
784,Matt Cooke,784,15
785,Brad Stuart,785,9
786,Joe Vitale,786,2
787,Robby Fabbri,787,25
788,Nikita Nikitin,788,12
789,Shane Prince,789,21
790,Jordan Schroeder,790,15
791,Quinton Howden,791,13
792,Andrew Ference,792,12
793,Travis Moen,793,10
794,Emerson Etem,794,20
795,Adam Cracknell,795,28
796,Daniel Paille,796,7
797,Patrick Dwyer,797,2
798,Brett Bellemore,798,20
799,Corey Tropp,799,7
800,Alex Burmistrov,800,30
801,Tim Gleason,801,5
802,Mark Fraser,802,21
803,Matt Halischuk,803,30
804,Adam Clendening,804,23
805,Josh Manson,805,1
806,Viktor Arvidsson,806,18
807,Brett Ritchie,807,10
808,Evgeny Medvedev,808,22
809,Brandon Davidson,809,12
810,Tye McGinn,810,26
811,Marc-Andre Cliche,811,9
812,Korbinian Holzer,812,1
813,Dylan Olsen,813,13
814,Ben Hutton,814,28
815,Klas Dahlbeck,815,2
816,Mark Barberio,816,16
817,Jonathan Marchessault,817,26
818,Victor Bartley,818,18
819,Kerby Rychel,819,8
820,Martin Marincin,820,27
821,Colin McDonald,821,22
822,Chris Wideman,822,21
823,Matt Fraser,823,30
824,Sergei Plotnikov,824,23
825,Jordan Martinook,825,2
826,Brian Dumoulin,826,23
827,Keith Aulie,827,2
828,William Karlsson,828,8
829,Andre Benoit,829,25
830,Sven Andrighetto,830,16
831,Steven Kampfer,831,13
832,Raphael Diaz,832,20
833,Landon Ferraro,833,3
834,Colin Greening,834,21
835,Trevor van Riemsdyk,835,7
836,Jake Virtanen,836,28
837,Austin Watson,837,18
838,Frank Vatrano,838,3
839,Paul Postma,839,30
840,Chris Phillips,840,21
841,Magnus Paajarvi,841,25
842,Joel Edmundson,842,25
843,Andrew Copp,843,30
844,Connor Brickley,844,13
845,Chris Porter,845,15
846,Seth Griffith,846,3
847,Ronalds Kenins,847,28
848,Michael Bournival,848,16
849,Dylan McIlrath,849,20
850,Joakim Nordstrom,850,5
851,Curtis McKenzie,851,10
852,Brian Gibbons,852,20
853,Iiro Pakarinen,853,12
854,Matt Puempel,854,21
855,Tim Erixon,855,23
856,Cody McCormick,856,4
857,Mark Pysyk,857,4
858,Stefan Elliott,858,2
859,Eric Boulton,859,19
860,Michael Chaput,860,8
861,Radek Faksa,861,10
862,Mark Fayne,862,12
863,Tom Sestito,863,23
864,Grant Clitsome,864,30
865,Dennis Everberg,865,9
866,Colton Sissons,866,18
867,Andreas Martinsen,867,9
868,Ryane Clowe,868,17
869,Jake McCabe,869,4
870,Michal Jordan,870,5
871,Petteri Lindbohm,871,25
872,Brett Pesce,872,5
873,Matt Donovan,873,4
874,Stu Bickel,874,25
875,Craig Cunningham,875,2
876,Byron Froese,876,27
877,Sergey Kalinin,877,17
878,Zach Boychuk,878,5
879,Joe Morrow,879,3
880,Liam O'Brien,880,29
881,Erik Gustafsson,881,7
882,Tanner Kero,882,7
883,Miikka Salomaki,883,18
884,Taylor Chorney,884,29
885,Micheal Haley,885,24
886,Rich Clune,886,27
887,Brandon Gormley,887,9
888,Mike Weaver,888,16
889,Daniel Sprong,889,23
890,Jacob De La Rose,890,16
891,Viktor Svedberg,891,7
892,Stefan Matteau,892,17
893,Christian Thomas,893,16
894,Brian Lashoff,894,11
895,Seth Helgeson,895,17
896,Xavier Ouellet,896,11
897,Stanislav Galiev,897,29
898,Bryan Rust,898,23
899,Griffin Reinhart,899,12
900,Brian McGrattan,900,1
901,Dustin Jeffrey,901,2
902,Patrick Bordeleau,902,9
903,Patrik Nemeth,903,10
904,Taylor Fedun,904,28
905,Eric O'Dell,905,21
906,Matt Carkner,906,19
907,Greg Pateryn,907,16
908,Patrick Kaleta,908,4
909,Jesse Winchester,909,9
910,Jayson Megna,910,20
911,Jordan Caron,911,25
912,Alexey Marchenko,912,11
913,Devin Setoguchi,913,27
914,Luke Witkowski,914,26
915,Josh Anderson,915,8
916,Michael Kostka,916,21
917,Ty Rattie,917,25
918,Sam Carrick,918,27
919,Tim Schaller,919,4
920,Daniel Cleary,920,11
921,Mirco Mueller,921,24
922,Rocco Grimaldi,922,13
923,Nikolay Goldobin,923,24
924,Lucas Lessio,924,2
925,Kurtis Gabriel,925,15
926,Jarred Tinordi,926,16
927,Joonas Kemppainen,927,3
928,Eric Tangradi,928,11
929,Alex Biega,929,28
930,Derek Forbort,930,14
931,Brett Sutter,931,15
932,Jaccob Slavin,932,5
933,Reid Boucher,933,17
934,Andrew Miller,934,12
935,Peter Harrold,935,25
936,Brandon Mashinter,936,7
937,Brian O'Neill,937,17
938,Matt Frattin,938,27
939,Paul Bissonnette,939,14
940,Steve Oleksy,940,23
941,Logan Shaw,941,13
942,Andreas Athanasiou,942,11
